Krankenhaus,hospital
Bank,bank
Hotel,hotel
Bar,bar
Apotheke,pharmacy
Strand,beach
Restaurant,restaurant
Flughafen,airport
BÃ¤ckerei,bakery
Kirche,church
Kino,cinema
Museum,museum
Schule,school
Platz,square
Supermarkt,supermarket
Zoo,zoo
teuer,expensive
billig,cheap
kostenlos,free
Kassierer,cashier
Tasche,bag
Garantie,warranty
Gang,aisle
Regal,shelf
Lieferung,delivery
Schlussverkauf,sale
Frühstück,breakfast
Mittagsessen,lunch
Abendessen,dinner
Besteck,cutlery
Serviette,napkin
Brunch,brunch
Dessert,dessert
Trinkgeld,tip
Getränke,beverages
Appetizer,appetizer
Im,Hotel
Zimmer,room
Badezimmer,bathroom
Bett,bed
Schlafzimmer,bedroom
Etage,floor
Aufzug,elevator
Rezeption,reception
Handtuch,towel
Gepäck,baggage
Page,bellboy
Bettwäsche,linen
Kammerdiener,valet
Lobby,lobby
Anzahlung,deposit
gratis,complimentary
Eins,one
Zwei,two
Drei,three
Vier,four
Fünf,five
Sechs,six
Sieben,seven
Acht,eight
Neun,nine
Zehn,ten
Elf,eleven
Zwölf,twelve
Dreizehn,thirteen
Vierzehn,fourteen
Fünfzehn,fifteen
Sechszehn,sixteen
Siebzehn,seventeen
Achtzehn,eighteen
Neunzehn,nineteen
Zwanzig,twenty
Dreizig,thirty
Vierzig,fourty
Fünfzig,fifty
Sechszig,sixty
Siebzieg,seventy
Achzig,eighty
Neunzig,ninety
Hundert,hundred
Million,million
Milliarde,billion
erster,first
zweiter,second
dritter,third
vierter,fourth
fünfter,fifth
sechster,sixth
siebter,seventh
ich,I
du,you
er,he
sie,they
es,it
wir,we
ihr,you
Ding,thing
sicher,sure
und,and
oder,or
weil,because
Leben,life
Regierung,government
Kind,child
Firma,company
Gruppe,group
Alter,age
Mond,moon
Sonne,sun
Auto,car
Buch,book
Welt,world
Familie,family
Freund,friend
Gesetz,law
Mann,man
Frau,woman
Junge,boy
Mädchen,girl
Arm,arm
Hand,hand
Bein,leg
Fuß,foot
Auge,eye
Kopf,head
Gehirn,brain
Nase,nose
Ohr,ear
Haar,hair
Augenbraue,eyebrow
Lippen,lips
Finger,finger
Skelett,skeleton
Knochen,bones
Haut,skin
sein,be
bekommen,get
geben,give
leben,live
machen,make
gehen,go
benutzen,use
essen,eat
denken,think
kommen,come
haben,have
tun,do
sagen,say
wissen,know
sehen,see
wollen,want
finden,find
erzählen,tell
fragen,ask
versuchen,try
anrufen,call
schön,beautiful
hässlich,ugly
hoch,tall
klein,small
groß,big
neu,new
Baum,tree
